Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2018,Pérolas do Mar,Hou Lai de Wo Men,Rene Liu,Mulher,China,2019,5
2014,Dot 2 Dot,點對點,Amos Why,Homem,China,2019,4
2018,Eu não sou um homem fácil,Je ne suis pas un homme facile,Eleonore Pourriat,Mulher,França,2019,3
2018,Feministas: o que elas estavam pensando?,Feminists: What were they thinking?,Johanna Demetrakas,Mulher,EUA,2019,5
2013,So Young,Zhì wǒmen zhōng jiāng shìqù de qīngchūn,Wei Shao,Mulher,China,2019,4
2015,"Ela lembra, ele esquece",Na yi tian wo men hui fei,Adam Wong Sau Ping,Homem,China,2019,5
1995,O fantasma do futuro,攻殻機動隊,Mamoru Oshii,Homem,Japão,2019,4
2017,Luzes no céu: Fireworks,打ち上げ花火、下から見るか？横から見るか？,Akiyuki Shinbo; Takeuchi Nobuyuki,Homem,Japão,2019,3
2018,Shiki Oriori,詩季織々,Li Haoling; Xiaoxing Yi; Yoshitaka Takeuchi,Homem,Japão,2019,3
2018,Aniquilação,Annihilation,Alex Garland,Homem,EUA,2019,"2,5"
2011,Viagem para Agartha,星を追う子ども,Makoto Shinkai,Homem,Japão,2019,3
2018,Roma,Roma,Alfonso Cuarón,Homem,México,2019,3
2015,Triumph in the skies,Chung seung wan siu,Matt Chow; Wilson Yip,Homem,China,2019,3
2014,Família a gente não escolhe,Shi lian ji rang,Goo-bi GC,Mulher,China,2019,"3,5"
2014,Break up 100,分手100次,Lawrence Cheng,Homem,China,2019,"3,5"
2013,The Stolen years,被偷走的那五年,Chun Chun Wong,Mulher,China,2019,5
1955,Seven: Os sete pecados capitais,Seven,David Fincher,Homem,EUA,2019,4
2013,Como encontrar um homem ideal,Bei Jing yu Shang Xi Ya Tu,Xiao Lu Xa,Mulher,China,2019,"3,5"
2016,Como encontrar um homem ideal 2,Beijing Yu Shang Xiyatu Zhi Bu'er Qingshu,Xiao Lu Xa,Mulher,China,2019,5
2018,Querido Ex,Shei Xian Ai Shang Ta De,Chih-Yen Shu; Hsu Yu Ting,Ambos,China,2019,3
2012,Aiyyaa,Aiyyaa,Sachin Kundalkar,Homem,Índia,2019,3
2014,A conpiração da vaca: O segredo da sustentabilidade,Cowspiracy: The Sustainability Secret,Kip Andersen,Homem,EUA,2019,3
2006,Filhos da esperança,Children of men,Alfonso Cuarón,Homem,EUA,2019,3
2006,Amanda Annabelle,Loving Annabelle,Katherine Brooks,Mulher,EUA,2019,"2,5"
2014,Lang Tong,Lang Tong,Sam Loh,Homem,Singapura,2019,3
2015,A incrível história de Adaline,The age of Adaline,Lee Toland Krieger,Homem,EUA,2019,3
2015,Juventudes Roubadas,Testament of Youth,James Ket,Homem,Inglaterra,2019,"2,5"
2019,Paddleton,Paddleton,Alexandre Lehmann,Homem,EUA,2019,"2,5"
2014,The golden era,Huang jin shi dai,Ann Hui,Mulher,China,2019,"3,5"
2016,Newton,Newton,Kim A. Snyder,Mulher,EUA,2019,3
1998,Patch Adams - O amor é contagioso,Patch Adams,Tom Shadyac,Homem,EUA,2019,3
1990,Tempo de despertar,Awakenengins,Penny Marshall,Mulher,EUA,2019,"3,5"
1983,Monty Python - O sentido da vida,The meaning of life,Terry Guilliam; Terry Jones,Homem,EUA,2019,3
2018,As diversas faces de Ito,伊藤くん A to E,Ryuichi Hiroki,Homem,Japão,2019,3
2016,A criada,아가씨,Chan-wook Park,Homem,Coréia do Sul,2019,"3,5"
2017,Mary Shelley,Mary Shelley,Haifaa Al-Mansour,Mulher,EUA,2019,"0,5"
2016,O mestre da espada,San Shao Ye De Jian,Tung-Shing Yee,Homem,China,2019,3
2019,Capitã Marvel,Captain Marvel,Anna Boden; Ryan Fleck,Ambos,EUA,2019,"3,5"
1966,Fahrenheit 451,Fahrenheit 452,Fançois Truffant,Homem,EUA,2019,3
2002,O pianista,The pianist,Roman Polanski,Homem,EUA,2019,4
2018,"Inspire, Expire",Andið eðlilega,Isold Uggadottir,Mulher,Islândia,2019,3
1992,Cães de Aluguel,Reservoir Dogs,Quentin Tarantino,Homem,EUA,2019,3
2019,Cemitério Maldito,Pet Sematary,Dennis Widmyer; Kevin Kolsh,Homem,EUA,2019,"0,5"
2019,Vingadores: Ultimato,Avengers: Endgame,Anthony Russo; Joe Russo,Homem,EUA,2019,"2,5"
2018,Lionheart,Lionheart,Genevive Nnaji,Mulher,Nigéria,2019,"3,5"
1999,"Garota, interrompida","Girl, interrupted",James Mangold,Homem,EUA,2019,3
2014,Kundo: Era fora de controle,Kundo: Min-ran-eui si-dae, Yoon Jong-Bin,Homem,Coréia do Sul,2019,4
1951,Senhorita Oyu,Oyú-sama,Kenji Mizoguchi,Homem,Japão,2019,5
2016,Caça-fantasmas,Ghostbusters,Paul Feig,Homem,EUA,2019,"2,5"
2019,Green book - O guia,Green Book,Peter Farrelly,Homem,EUA,2019,3
2088,Um mundo sem niguém,Life after people,David de Vries,Homem,EUA,2019,"3,5"
1997,Minha bida cor de rosa,Ma vie en rose,Alain Berliner,Homem,França,2019,5
2016,Moonlight - sob a luz do luar,Moonlight,Barry Jenkins,Homem,EUA,2019,3
2019,Citites of last things,Cities of last thing,Ho Wi-Ding,Homem,China,2019,4
2016,Tempos doces. tempos amargos,The bittersweet,D Ho,Homem,China,2019,"3,5"
2001,Senho dos Anéis - A sociedade do anel,The Lord of the Rings - The Fellowship of the ring,Peter Jackson,Homem,EUA,2019,4
2033,Senhor dos Anéis - O retorno do rei,The Lord of the Rings - The return of the King,Peter Jackson,Homem,EUA,2019,4
2017,Lady Di: Suas últimas palavras,Diana: In her own words,Kevin Sim; Tom Jennings,Homem,Inglaterra,2019,5
2014,Babadook,Babadook,Jennifer Kent,Mulher,EUA,2019,4
2008,Sete vidas,Seven Pounds,Gabriele Muccino,Mulher,EUA,2019,3
1996,Joovens Bruxas,The Craft,Andrew Fleming,Homem,EUA,2019,4
2011,Millenium: Os homens que não amavam as mulheres,The girl with the dragon tattoo,David Fincher,Homem,EUA,2019,4
2006,Anjos do sol,Anjos do sol,Rudi Lagemann,Homem,Brasil,2019,4
2015,Jonas ,Jonas,Lô Politi,Mulher,Brasil,2019,"2,5"
2013,Vendo ou alugo,Vendo ou alugo,Betse de Paula,Mulher,Brasil,2019,"2,5"
2017,77 heartbreaks,原谅他77次,Herman Yau,Homem,China,2019,5
2005,"Cinema, aspirina e urubus","Cinema, aspirina e urubus",Marcelo Gomes,Homem,Brasil,2019,"3,5"
2013,Mil vezes boa noite,Tusen Ganger God Natt,Erik Pope,Homem,Suécia,2019,5
1999,Magnólia,Magnolia,Paul Thomas Anderson,Homem,EUA,2019,"4,5"
2019,Animais noturnos,Nocturnal Animals,Tom Ford,Homem,EUA,2019,3
2016,Bem vindo a Marly-Gomont,Bienevenue à Marly-Gomont,Julien Rambaldi,Homem,França,2019,"3,5"
2015,Meu nome é Ray,About Ray,Gaby Dellal,Mulher,EUA,2019,3
1996,De olhos azuis,Blue Eyed,Bertram Verhaag,Homem,EUA,2019,5
2017,Todas as razões para te esquecer,Todas as razões para te esquecer,Pedro Coutinho,Homem,Brasil,2019,"2,5"
2014,Flores,Loreak,Jon garanõ; José Mari Goenaga,Homem,Espanha,2019,3
2018,Secrets in hot springs,Secrets in hot springs,Kuan-Hui Lin,Mulher,Taiwan,2019,3
2016,Tempestades de areia,Sufat Chol,Elite Zexer ,Mulher,Israel,2019,3
2015,Holding the man,Holding the man,Neil Armfiel,Homem,EUA,2019,"3,5"
2016,Eu não sou seu negro,I'm not your negro,Raoul Peck,Homem,EUA,2019,5
1974,Conrack,Conrack,Martin Ritt,Homem,EUA,2019,4
2016,Procurando Dory,Finding Dory,Andrew Stanton,Homem,EUA,2019,4
2019,It: Capítulo 2,It: Chapter Two,Andy Muschietti,Homem,EUA,2019,"3,5"
2018,Assunto de família,万引き家族,Hirokazu Koreeda,Homem,Japão,2019,4
1990,Convenção das Bruxas,The witches ,Nicolas Roeg,Homem,EUA,2019,3
2017,Mon Mon Mon Monsters,報告老師！怪怪怪怪物！,Giddens Ko,Homem,Taiwan,2019,3
2015,Chappie,Chappie,Neil Blomkamp,Homem,EUA,2019,"3,5"
1999,Jin Roh ,人狼,Hiroyuki Okiura,Homem,Japão,2019,4
2018,Illang: A brigada lobo,In-rang,Kim Jee Woon,Homem,Coréia do Sul,2019,4
2004,2046 - Os segredos do amor,2046,Wong Kar Wai,Homem,China,2019,4
1990,Dias selvagens,A Fei Jingjyuhn,Wong Kar Wai,Homem,China,2019,4
2013,Vidas ao vento,風立ちぬ,Hayao Miyazaki,Homem,Japão,2019,5
1990,Louca Obsessão,Misery,Rob Reiner,Homem,EUA,2019,4
1992,Porco Rosso: O último herói romântico,紅の豚,Shinichi Matsumi; Hayao Miyazaki,Homem,Japão,2019,5
2010,Chico & Rita,Chico y Rita,Fernando Trueba; Javier Mariscal; Tono Errando,Homem,Espanha,2019,5
2018,O que poderíamos ser,Lo que prodriamos ser,Javier Colinas,Homem,México,2019,"0,5"
1945,Momotaro's Divine sea warriors,Momotarō: Umi no Shinpei,Mitsuyo Seo,Homem,Japão,2019,5
2016,Paterson,Paterson,Jim Jamusch,Homem,EUA,2019,4
1969,Mil e uma noites,Senya Ichiya Monogatari,Eiichi Yammato,Homem,Japão,2019,4
2013,"Estúdio Ghibli, Reino de sonhos e loucuras",Yume to Kyoki no Okoku,Mami Sunada,Mulher,Japão,2019,5
1987,Coração satânico,Angel Hearts,Alan Parker,Homem,EUA,2019,3
1997,Perfect Blue,パーフェクト・ブルー,Satoshi Kon; Tanaka Mineya,Homem,Japão,2019,5
1997,Princesa Mononoke,もののけ姫,Hayao Miyazaki,Homem,Japão,2019,5
1983,Gen pés descalços,はだしのゲン,Mori Masaki,Homem,Japão,2019,4
1990,A noite dos mortos-vivos,Night of the living dead,Tom Savini,Homem,EUA,2019,3
2016,Invasão Zumbi,Busanhaeng,Yeon Sang-Ho,Homem,Coréia do Sul,2019,4
2011,Rugas,Arrugas,Ignacio Ferreras,Homem,Espanha,2019,5
2011,Da colina Kokuriko,コクリコ坂から,Goro Miyazaki,Homem,Japão,2019,5
1992,Cassino Tycoon,Do sing dai hang san goh chuen kei,Jin Wong,Homem,China,2019,4
1997,Cassino Tycoon 2,Dǔ Chéng Dà Hēng Èr Zhī Zhì Zūn Wú Dí,Jin Wong,Homem,China,2019,4
1962,Cléo das 5 às 7,Cléo de 5 à 7,Agnès Varda,Mulher, França,2019,4
2019,A família Addams,The Addams Family,Conrad Vemon; Greg Tieman,Homem,EUA,2019,"3,5"
2008,Valsas com Bashir,ואלס עם באשיר,Ari Folman,Homem,Israel,2019,4
2016,A tartaruga vermelha,La tortue rouge,Michel Dudok de Wit,Homem,França,2019,4
1992,Malcolm X,Malcolm X,Spkie Lee,Homem,EUA,2019,5
2017,Coora!,Get Out,Jordan Peele,Homem,EUA,2019,5
2003,Narradores de Javé,Narradores de Javé,Eliane Caffé,Mulher,Brasil,2019,5
1983,Scarface,Scarface,Brian de Palma,Homem,EUA,2019,"3,5"
2017,A ponte,The bridge,Kunle Afolayan,Homem,Nigéria,2019,5
2018,Felicidade por um fio,Nappily Ever after,Haifaa Al-Mansour,Mulher,EUA,2019,4
1991,Memórias de ontem,おもひでぽろぽろ,Isao Takahata,Homem,Japão,2019,5
2019,Klaus,Klaus,Sergio Pablos,Homem,EUA,2019,4
1952,Viver,Ikiru,Akira Kurosawa,Homem,Japão,2019,5
1952,Oharu - A vida de uma cortesã,Saikaku Ichidai Onna,Kenji Mizoguchi,Homem,Japão,2019,5
1950,Rashomon,Rashomon,Akira Kurosawa,Homem,Japão,2019,5
1954,Os sete samurais,Shichinin no samurai,Akira Kurosawa,Homem,Japão,2019,5
2014,Octuber 1,Octuber 1,Kunle Afolayan,Homem,Nigéria,2020,5
2016,A chegada,Arrival,Denis Villeneuve,Homem,EUA,2020,"3,5"
1950,Crepúsculo dos Deuses,Sunset blvd.,Billy Wilder,Homem,EUA,2020,"3,5"
2017,Cadelaria,Candelaria,Jhonny Hendrix,Homem,Cuba,2020,5
2010,O mágico,L’Illusionniste,Sylvain Chomet,Homem,França,2020,4
2016,A yellow bird,A yellow bird,K. Rajagopal,Homem,Singapura,2020,"2,5"
2011,Flores do oriente,Jin Ling Shi San Chai,Zhang Yimou,Homem,China,2020,5
2018,Inflitrado na Klan,BlacKKKlansman,Spike Lee,Homem,EUA,2020,5
2017,Deus da Guerra,Dang kou feng yun,Gordon Chan,Homem,China,2020,5
2016,A grande muralha,The great wall,Zhang Yimou,Homem,China,2020,5
2018,O mau exemplo de Cameron Post,The miseducation pf Cameron Post,Desiree Akhavan,Mulher,EUA,2020,"3,5"
2017,T2: Trainspotting ,T2: Trainspotting,Danny Boyle,Homem,Inglaterra,2020,3
1945,Campos de concetração nazistas,Nazi concentration Camps,George Stevens,Homem,EUA,2020,5
2016,Aquarius,Aquarius,Kleber Mendonça Filho,Homem,Brasil,2020,3
2015,De onde eu te vejo,De onde eu te vejo,Luiz Vilaça ,Homem,Brasil,2020,4
2008,A vida secreta das abelhas,The secret life of bees,Gina Prince-Bythewood,Mulher,EUA,2020,3
2019,Aprendiz de Mecânico,Mokalik,Kunle Afolayan,Homem,Nigéria,2020,4
1965,O colecionador,The collector,William Wyler,Homem,Inglaterra,2020,5
2019,Jojo Rabbit,Jojo Rabbit,Taika Waititi,Homem,EUA,2020,3
2007,Um beijo roubado,My blueberry nights,Wong Kar Wai,Homem,China,2020,4
2002,As horas,The hours,Stephen Daldry,Homem,EUA,2020,4
2019,Parasita,기생충,Bong Joon-ho,Homem,Coréia do Sul,2020,5
2006,O hospedeiro,Gwoemul,Bong Joon-ho,Homem,Coréia do Sul,2020,3
2018,Gostos e cores,Les Goûts et les couleurs,Myriam Aziza,Mulher,França,2020,1
2004,Casa Vazia,Bon Jip,Ki-duk Kim,Homem,Coréia do Sul,2020,"3,5"
1939,Crisântemos Tardios,Zangiku Monogatari,Kenji Mizoguchi,Homem,Japão,2020,4
2019,Joy,Joy,Sudabeh Mortezai,Mulher,Áustria,2020,3
2003,Memórias de um assassino,Salinui Chueok,Bong Joon-ho,Homem,Coréia do Sul,2020,5
2020,Aves de Rapina: Arlequina e sua Emancipação Fabulosa,Birds of Prey ( and the fantabulous emancipation of one Harley Quinn),Cathy Yan,Mulher,EUA,2020,4
2019,Entre facas e segredos,Knives out,Rian Johnson,Homem,EUA,2020,"3,5"
2018,Azali,Azali,Kwabena Gynsah,Homem,Gana,2020,"3,5"
2005,Obrigado por fumar,Thank you for smoking,Jason Reitman,Homem,EUA,2020,
1940,Fantasia,Fantasia,Ben Shapsteen; Bill Roberts; Ford Beebe; Hamilton Luske; James Algar; Jim Handley; Norman Gerguson; Norman Ferguson; Paul Saltterfield; Samuel Armstrong; T. Hee; Wilfred Jackson,Homem,EUA,2020,5
2019,Estrada sem lei,The highwaymen,John Lee Hancock,Homem,EUA,2020,3
1948,O anjo embriagado,Yoidore tenshi,Akira Kurosawa,Homem,Japão,2020,5
2017,Yoru wa Mijikashi Arukeyo Otome,Yoru wa Mijikashi Arukeyo Otome,Masaaki Yuasa,Homem,Japão,2020,3
1965,As duas faces da felicidade,Le Bonheur,Agnès Varda,Mulher,França,2020,5
2011,O homem do futuro,O homem do futuro,Cláudio Torres,Homem,Brasil,2020,3
2013,Filth,Filth,Jon S. Baird,Homem,Inglaterra,2020,"2,5"
1971,Domingo Maldito,Sunday Bloody Sunday,John Schelsinger,Homem,Inglaterra,2020,3
2014,Z Storm,Z Feng Bao,David Lam,Homem,China,2020,3
2016,Z Storm II,Z Fung Bou,David Lam,Homem,China,2020,3
2016,Moana: Um mar de aventuras,Moana,John Musker; Ron Clements,Homem,EUA,2020,4
1978,A câmara 36 de shaolin,Shao Lin San Shi Liu Fang,Chia-Liang Liu,Homem,China,2020,"3,5"
2003,Matrix Reloaded,Matrix Reloaded,Lana Wachowski; Lilly Wachowski,Mulher,EUA,2020,"3,5"
2003,Martrix Revolutions,Matrix Revolutions,Lana Wachowski; Lilly Wachowski,Mulher,EUA,2020,"3,5"
1983,O enigma de outro mundo,The Thing,John Carpenter,Homem,EUA,2020,"3,5"
2018,O homem das cavernas,Early Man,Nick Park,Homem,Inglaterra,2020,3
1995,Sussuros do Coração,耳をすませば,Yoshifume Kondo,Homem,Japão,2020,4
1957,Trono manchado de sangue,Kumonosu Jo,Akira Kurosawa,Homem,Japão,2020,4
2004,Todo mundo quase morto,Shaun of the dead,Edgar Wright,Homem,Inglaterra,2020,"3,5"
2015,Regular Show: O Filme,Regular Show: The movie,J. G. Quintel,Homem,EUA,2020,3
1984,Nausicaa do Vale o Vento,風の谷のナウシカ,Hayao Miyazaki,Homem,Japão,2020,5
2018,Meu melhor amigo,Mi mejor amigo,Martín Deus,Homem,Argentina,2020,2
2019,Atlantique,Atlantique,Mati Diop,Mulher,Senegal,2020,3
2018,Ilha dos Cachorros,Isle of Dogs,Wes Anderson,Homem,EUA,2020,4
2006,Contos de Terramar,ゲド戦記,Goro Miyazaki,Homem,Japão,2020,"3,5"
2019,Perdi meu corpo,J'ai perdu mon corps,Jéréme Chaplin,Homem,França,2020,"3,5"
2005,O gosto da vingança,Dalkomhan Insaeng,Kim Jee Woon,Homem,Coréia do Sul,2020,3
1994,PomPoko: a grande batalha dos guaxinins,平成狸合戦ぽんぽこ,Masahiko Otsuka; Shinichi Matsumi; Isao Takahata,Homem,Japão,2020,4
2014,As memórias de Marnie,思い出のマーニー,Hiromasa Yonebayashi; Yuichiro Kido,Homem,Japão,2020,4
2018,Drug King,Ma-yak-wang,Woo Min-Ho,Homem,Coréia do Sul,2020,4
2004,O barbeiro do presidente,Hyojadong Ibalsa,Lim Chan-Sang,Homem,Coréia do Sul,2020,"3,5"
2017,Como os nossos pais,Como os nossos pais,Laís Bodanzky,Mulher,Brasil,2020,5
2015,Boi Neon,Boi Neon,Gabriel Mascaro,Homem,Brasil,2020,4
2019,Amor Divino,Amor Divino,GabrielMascaro,Homem,Brasil,2020,2
2016,93 dias,93 days,Steve Gukas,Homem,Nigéria,2020,4
2018,Longa jornada noite adentro,Di qiu zui hou de ye wan,Bi Gan,Homem,China,2020,2
2017,Cuba e o cameraman,Cuba and the cameraman,Jon Alpert,Homem,EUA,2020,"3,5"
2019,37 segundos,37 sekanzu,Hikari,Mulher,Japão,2020,4
1997,Hero ,馬永貞,Corey Yuen,Homem,China,2020,"3,5"
2000,"Meus visinhos, os Yamadas",ホーホケキョ となりの山田くん,Isao Takahata,Homem,Japão,2020,"3,5"
2014,O último cine Drive-in,O último cine Drive-in,Iberê Carvalho,Homem,Brasil,2020,4
2014,Um dia difícil,Kkeutkkaji Ganda,Kim Sung Hoon,Homem,Coréia do Sul,2020,4
2009,Guerras de Verão,サマーウォーズ,Mamoru Hosada,Homem,Japão,2020,3
2017,Whitney: Can I be me,Whitney: Can I be me,Nick Broomfield; Rudi Dolezal,Homem,EUA,2020,5
2017,Garota Exemplar,Gone Girl,David Fincher,Homem,EUA,2020,4
2019,Miles Davis: Inventor do cool,Miles Davis:Birth of the Cool,Stanley Nelson,Homem,EUA,2020,5
1988,Rain Man,Rain Man,Barry Levinson,Homem,EUA,2020,"3,5"
2018,The Witness,Mok-gyeok-ja,Jo Kyoo-Jang,Homem,Coréia do Sul,2020,5
2016,Um Estado de liberdade,Free State of Jones,Gary Ross,Homem,EUA,2020,3
116,O poderoso chefão,The Godfather,Francis Ford Coppola,Homem,EUA,2020,3
2016,Cães de Guerra,War Dogs,Todd Phillips,Homem,EUA,2020,4
2019,O menino que descobriu o vento,The Boy Who Harnessed the Wind,Chiwetel Ejiofor,Homem,EUA,2020,4
2018,Operação Final,Operation Finale,Chris Weitz,Homem,EUA,2020,"3,5"
1988,Painted Faces,Painted faces,Alex Law,Homem,China,2020,5
2016,Blue Jay,Blue Jay,Alexandre Lehmann,Homem,EUA,2020,"3,5"
2019,Happy Old Year,Happy Old Year,Nawapol Thamrongrattanarit,Homem,Tailândia,2020,5
2001,Escola de Combate,Wo de Ye man Tong xue,Jim Wong; Siu-hung Chung,Homem,China,2020,3
2018,Crazy People,Crazy Peole,Moses Inwang,Homem,Nigéria,2020,3
2012,Colegas,Colegas,Marcelo Galvão,Homem,Brasil,2020,5
1995,Antes do Amanhecer,Before Sunrise,Richard Linklater,Homem,EUA,2020,"3,5"
2004,Antes do Entardecer ,Before Sunset,Richard Linklater,Homem,EUA,2020,4
2013,Antes da Meia-Noite,Before Midnight,Richard Linklater,Homem,EUA,2020,4
2001,Cowboy Bebop - O Filme,Kaubôi bibappu: Tengoku no tobira,Shinichiro Watanabe,Homem,Japão,2020,5
2017,Mãe!,Mother!,Darren Aronofsky,Homem,EUA,2020,4
1971,Ensina-me a viver,Harold and Maude,Hal Ashby,Homem,EUA,2020,5
2017,Café com Canela,Café com canela,Ary Rosa; Glenda Nicácio,Ambos,Brasil,2020,5
1979,Alien: O oitavo passageiro,Alien,Ridley Scott,Homem,Inglaterra,2020,4
2020,Dias sem fim,All day and a night,Joe Robert Cole,Homem,EUA,2020,5
2011,Bróder,Bróder,Jerfeson Dê,Homem,Brasil,2020,"2,5"
2015,"Branco Sai, Preto Fica","Branco Sai, Preto Fica",Adirley Queirós,Homem,Brasil,2020,3
2014,Boyhood: Da infância à Juventude,Boyhood,Richard Linklater,Homem,EUA,2020,"2,5"
2014,That demon within,That demon within,Dante Lam,Homem,China,2020,3
2017,A caçada,반드시 잡는다,Hong-seon Kim,Homem,Coréia do Sul,2020,4
2017,Rastros de um sequestro,Gi-eok-ui Bam,Hang-jun Jang,Homem,Coréia do Sul,2020,5
1998,O resgate do soldado Ryan,Saving Private Ryan,Steven Spielberg,Homem,EUA,2020,4
1975,O poderoso chefão: parte II,The Godfather: Part II,Francis Ford Coppola,Homem,EUA,2020,"3,5"
2006,Volver,Volver,Pedro Almodóvar,Homem,Espanha,2020,5
2020,Destacamento Blood,Da 5 bloods,Spike Lee,Homem,EUA,2020,5
2019,Wasp Network: Rede de espiões,Wasp Network,Olivier Assayas,Homem,França,2020,3
1959,"Hiroshima, Meu amor","Hiroshima, Mon Amour",Alain Resnais,Homem,França,2020,"3,5"
2013,Expresso do amanhã,Snowpiercer,Bong Joon-ho,Homem,Coréia do Sul,2020,4
2016,Pink,Pink,Aniruddha Roy Chowhury,Homem,Índia,2020,4
2020,Maior Viagem: Uma aventura psicodélica,Have a good trip: Adventures in psychodelics,Donick Cary,Homem,EUA,2020,3
2018,Girl,Girl,Lukas Dhont,Homem,Bélgica,2020,4
1957,Noites de Cabíria,Le notti di cabiria,Frederico Fellini,Homem,Itália,2020,4
2019,Floresta de sangue,The forest of love,Sion Sono,Homem,Japão,2020,4
2010,Reflexões de um liquidificador,Reflexões de um liquidificador,André Klotzel,Homem,Brasil,2020,"4,5"
2005,Batman Begins,Batman Begins,Christopher Nolan,Homem,EUA,2020,4
1975,A guilhotina voadora,Xue di zi,Meng Hua Ho,Homem,China,2020,3
1978,A guilhotina voadora 2,Can ku da ci sha,Kang Cheng; Shan Hua,Homem,China,2020,3
2002,Fale com ela,Hable con Ella,Pedro Almodóvar,Homem,Espanha,2020,4
2017,Verônica: Jogo sobrenatural,Verónica,Paco Plaza,Homem,Espanha,2020,5
1980,O Retorno à Câmara 36,Shao Lin da Peng da Shi,Chia-Liang Liu,Homem,China,2020,3
1985,Discípulos da câmara 36,Pi Li Shi Jie,Chia-Liang Liu,Homem,China,2020,4
2016,Mad World,Yat nim mou ming,Chun Wong,Homem,China,2020,5
2003,Tokyo Godfathers,東京ゴッドファーザーズ,Satoshi Kon,Homem,Japão,2020,5
2016,Hide and seek,Zhuo mi cang,Liu Jie,Homem,China,2020,4
2010,Cine Negro,Black Swan,Darren Aronofsky,Homem,EUA,2020,5
2014,1000 Rupes note,Ek Hazarachi Note,Shrihari Sathe,Homem,Índia,2020,3
2020,A sun,A sun,Chung Mong-Hong,Homem,Taiwan,2020,4
2019,Nimbe,Nimbe,Tope Alake,Homem,Nigéria,2020,4
1997,The end of evangelion,The end of evangelion,Hideaki Hanno; Kazuya Tsurumaki,Homem,Japão,2020,4
1977,"Uma canta, outra não","L'Une Chante, L'Autre Pas",Agnès Varda,Mulher,França,2020,5
1995,A excêntrica família de Antonia,Antonia,Marleen Gorris,Mulher,Bélgica,2020,4
2016,Chasing Trane,Chasing Trane: John Coltrane Feature Documentary,John Scheinfeld,Homem,EUA,2020,4
2008,Batmam: O Cavaleiro das trevass,The dark knight,Christopher Nolan,Homem,EUA,2020,4
1997,Evangelion Death (true)²,Evangelion Death (true)²,Hideaki Hanno; Kazuya Tsurumaki,Homem,Japão,2020,4
2014,Sem Pena,Sem Pena,Eugênio Puppo,Homem,Brasil,2020,4
1985,Os Renegados,Sans Toit Ni Loi,Agnès Varda,Mulher,Bélgica,2020,"3,5"
2013,Gravidade,Gravity,Alfonso Cuarón,Homem,EUA,2020,3
2019,A Lavanderia ,The laundromat,Steven Soderbergh,Homem,EUA,2020,3
2011,Le Tableau,Le tableau,Jean-François Languione,Homem,França,2020,5
2017,O filme da minha vida,O filme da minha vida,Selton Melo,Homem,Brasil,2020,3
1991,Lanternas Vermelhas,Da Hong Deng Long Gao Gao Gua,Zhang Yimou,Homem,China,2020,5
1994,Tempo de Viver,Huo Zhe,Zhang Yimou,Homem,China,2020,5
2005,Herói,Ying Xiong,Zhang Yimou,Homem,China,2020,5
2017,Babana Island Ghost,Babana Island Ghost,BB Sasore,Homem,Nigéria,2020,5
2020,Estou pensando em acabar com tudo,I'm thinking of ending things,Charlie Kaufman,Homem,EUA,2020,3
2019,Skin,Skin,Dainel Effiong,Homem,Nigéria,2020,5
2019,Jóias Brutas,Uncut Gems,Ben Safdie; Joshua Safdie,Homem,EUA,2020,3
2018,Mirai no Mirai,未来のミライ,Mamoru Hosada,Homem,Japão,2020,3
2011,Tatsumi,Tatsumi,Eric Khoo,Homem,Japão,2020,5
2009,O porco espinho,Le Hérisson,Mona Achache,Mulher,França,2020,3
2001,Atriz Milenar,千年女優,Satoshi Kon,Homem,Japão,2020,5
1949,Pai e filha,Banshun,Yasujiro Ozu,Homem,Japão,2020,5
1951,Também fomos felizes,Bakushu,Yasujiro Ozu,Homem,Japão,2020,5
1953,Era uma vez em Tóquio,Tôkyô Montagari,Yasujiro Ozu,Homem,Japão,2020,5
2010,Once a gangster,Fei saa fung chung chun,Felix Chong,Homem,China,2020,3
2014,O grande Hotel Budapeste,The Grand Budapeste Hotel,Wes Anderson,Homem,EUA,2020,"3,5"
1988,Os fantasmas se divertem,Beetlejuice,Tim Burton,Homem,EUA,2020,"3,5"
2000,A negação do Brasil,A negação do Brasil,Joel Zito Araújo,Homem,Brasil,2020,5
2018,Feliz como Lázaro,Lazzaro Felice,Alice Rohrwacher,Mulher,Itália,2020,"3,5"
2018,A bruxa: Parte 1 - A suberveção,Manyeo,Hoon-jung Park,Homem,Coréia do Sul,2020,4
2017,Lion: Uma jornada para casa,Lion,Garth Davis,Homem,Inglaterra,2020,4
2015,Cinquentonas,Fifty,Biyi Bandele,Homem,Nigéria,2020,"3,5"
2017,"iAy, mi madre!","iAy, mi madre!",Frank Ariza,Homem,Espanha,2020,3
2020,Tigertail,Tigertail,Alan Yang,Homem,Taiwan,2020,5
2017,Isoken,Isoken,Jadesola Osiberu,Mulher,Nigéria,2020,4
2014,O segredo das águas,Futatsume no Mado,Naomi Kawase,Mulher,Japão,2020,5
2012,O som ao redor,O som ao redor,Kleber Mendonça Filho,Homem,Brasil,2020,3
2020,O diabo de cada dia,The devil all the time,Antônio Campos,Homem,EUA,2020,3
2017,The looming storm,The looming storm,Dong Yue,Homem,China,2020,4
2009,Mother- A busca pela verdade,Madeo,Bong Joon-ho,Homem,Coréia do Sul,2020,4
