Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2003,O homem que copiava,O homem que copiava,Jorge Furtado,Homem,Brasil,-,4
1961,101 Dálmatas: A guerra dos Dálmatas,One hundred and one dalmatians,Clyde Geronimi; Hamilton Luske; Wolfgang Reitherman,Homem,EUA,-,3
2005,Robôs,Robots,Carlos Saldanha; Chris Wedge,Homem,EUA,-,3
2005,De repente é amor,A lot like love,Nigel Cole,Homem,EUA,-,3.5
1996,Space Jam - O jogo do século,Space Jam,Joe Pytka,Homem,EUA,-,5
2000,Billy Elliot,Billy Elliot,Stephen Daldry,Homem,EUA,-,3
2006,A casa monstro,Monster House,Gil Kenan,Homem,EUA,-,2.5
2007,Bee Movie - A história de uma abelha,Bee Movie,Simon J. Smith; Steve Hickner,Homem,EUA,-,4
2011,Compramos um zoológico,We bought a zoo,Cameron Crowe,Homem,EUA,-,4
1994,Riquinho,Richie Rich,Donald Petrie,Homem,EUA,-,3
2005,ABC do amor,Little Manhattan,Mark Levin,Homem,EUA,-,3
2010,O aprendiz de feiticeiro,The sorcerer's apprentice,Jon Turteltaub,Homem,EUA,-,2.5
2010,Ela é demais para mim,She's out of my league,Jim Field Smith,Homem,EUA,-,4
2013,Finalmente 18,21 and over,Jon Lucas; Scott Moore,Homem,EUA,-,4
2008,O curioso caso de Benjamin Button,The curious casa of Benjamin Button,David Fincher,Homem,EUA,-,2
2003,Os normais,Os normais,José Alvarenga Jr.,Homem,Brasil,-,2.5
2003,A creche do papai,Daddy day care,Steve Carr,Homem,EUA,-,3.5
2006,Borat- O segundo melhor repórter do glorioso país Cazaquistão viaja à América,Borat: Cultural learnings of America for make benefit glorious nation of Kazakhstan,Larry Charles,Homem,EUA,-,2.5
1994,Rei Leão ,Lion King,Rob Minkoff; Roger Allers,Homem,EUA,-,3
